id,schoolorinstitution_degree_comments,schoolorinstitution_degree_datesofattendance_enddate_anydate,schoolorinstitution_degree_datesofattendance_enddate_stringdate,schoolorinstitution_degree_datesofattendance_enddate_year,schoolorinstitution_degree_datesofattendance_enddate_yearmonth,schoolorinstitution_degree_datesofattendance_startdate_anydate,schoolorinstitution_degree_datesofattendance_startdate_year,schoolorinstitution_degree_datesofattendance_startdate_yearmonth,schoolorinstitution_degree_degreedate_anydate,schoolorinstitution_degree_degreedate_year,schoolorinstitution_degree_degreedate_yearmonth,schoolorinstitution_degree_degreemajor_name,schoolorinstitution_degree_degreeminor_name,schoolorinstitution_degree_degreename,schoolorinstitution_degree_userarea_degreeuserarea_graduated,schoolorinstitution_degree_userarea_degreeuserarea_id,schoolorinstitution_degree_userarea_degreeuserarea_normalizeddegreename,schoolorinstitution_degree_userarea_degreeuserarea_normalizeddegreetype,schoolorinstitution_postaladdress_countrycode,schoolorinstitution_postaladdress_municipality,schoolorinstitution_postaladdress_region,schoolorinstitution_school_schoolname
cv48873.xml,2015 - mba em engenharia de software orientada a serviços(soa) - fiap,,,2015,,notknown,,,,2015,,serviços,,mba,,deg-1,mba,mba,,,,fiap
cv48873.xml,2001 - graduação em análise de sistemas na universidade ibirapuera,,,2001,,notknown,,,,2001,,sistemas,,graduação em análise de sistemas,,deg-2,bachelors,bachelors,,,,universidade ibirapuera
cv48873.xml,1997/2000 - graduação em análise de sistemas na universidade ibirapuera,,,2000,,,1997,,,2000,,sistemas,,graduação em análise de sistemas,,deg-3,bachelors,bachelors,,,,universidade ibirapuera
cv52261.xml,término: dezembro / 2019 - cursando (aulas somente aos sábados)   • faculdade uirapuru superior curso: análise e desenvolvimento de sistemas,,,,2019-12,notknown,,,,,,,,,false,deg-3,,,,,,faculdade uirapuru superior
cv52261.xml,curso: gerenciamento de projetos - práticas do project management institute (pmi) início: agosto / 2018,,,,2018-08,notknown,,,,,2018-08,,,,,deg-2,,,,,,práticas do project management institute
cv52261.xml,• senac sorocaba,,,,,,,,,,,,,,,deg-1,,,,,,senac sorocaba
cv52730.xml,pós-graduação em psicologia organizacional e do trabalho - universidade presbiteriana mackenzie - 2017 -   concluído,,,2017,,notknown,,,,2017,,psicologia organizacional e do trabalho,,pós-graduação em psicologia organizacional e do trabalho,true,deg-2,masters,masters,,,,universidade presbiteriana mackenzie
cv52730.xml,graduação em psicologia- centro universitário filadélfia unifil - londrina/pr - 2015- concluído,,,2015,,notknown,,,,2015,,psicologia,,graduação em psicologia,true,deg-1,bachelors,bachelors,us,londrina,pr,centro universitário filadélfia unifil
cv54159.xml,❖ graduação - psicologia - universidade paulista (unip) - 8º período (em andamento ; previsão de término 2019/2). ❖ estágio voluntário - intervenção grupal e apoio psicológico para pacientes com sobrepeso e obesidade (em andamento).,,,,2019-02,notknown,,,,,,psicologia,,graduação,false,deg-2,bachelors,bachelors,,,,universidade paulista (unip)
cv54159.xml,❖ ensino médio completo - colégio da polícia militar (cpmg) unidade modelo vasco dos reis - concluído em 2013.,,,2013,,notknown,,,,2013,,,,ensino médio completo,true,deg-1,ensino médio completo,high school or equivalent,,,,colégio da polícia militar
cv54593.xml,•  graduada em psicologia - faculdade estácio de sá goiás - fesgo.,,,,,,,,,,,psicologia,,,,deg-1,,,,,,faculdade estácio de sá goiás - fesgo
cv49052.xml,centro universitário padre anchieta psicologia - concluído jun/2018,,,,2018-06,notknown,,,,,2018-06,psicologia,,,true,deg-1,,,,,,centro universitário padre anchieta
cv42739.xml,• escolaridade formação superior (cursando).  • graduação psicologia  iesb - cursando 8° semestre.,,,,,,,,,,,psicologia,,graduação,false,deg-1,bachelors,bachelors,,,,iesb
cv45714.xml,curso superior - graduação - completo faculdade alfa- graduado em psicologia,,,,,,,,,,,graduado,,graduação,true,deg-1,bachelors,bachelors,,,,faculdade alfa
cv46066.xml,ensino superior: psicologia (cursando 10º semestre)  na usjt gestão de recursos humanos (1 semestre) interrompido,,,,,,,,,,,psicologia,,ensino superior,false,deg-1,ensino superior,some college,,,,usjt
cv52851.xml,psicóloga pela universidade de brasília  conclusão - 2/2017.,,,,2017-02,notknown,,,,,2017-02,,,,,deg-1,,,,,,universidade de brasília
cv44100.xml,instituto mauá de tecnologia gerenciamento de projetos - conclusão: dezembro/2009,,,,2009-12,notknown,,,,,2009-12,,,,,deg-1,,,,,,instituto mauá de tecnologia
cv46008.xml,•  graduação psicologia- universidade paulista (unip) - são paulo  conclusão para 12/2019,,,,2019-12,notknown,,,,,,psicologia,,graduação,false,deg-1,bachelors,bachelors,br,são paulo,,universidade paulista (unip)
cv42397.xml,bacharelado em ciências da computação universidade paulista-unip - 1999 a 2002.,,,2002,,,1999,,,2002,,ciências da computação,,bacharelado em ciências da computação,,deg-1,bachelors,bachelors,,,,universidade paulista-unip
cv44634.xml,• pós-graduação (mba) -  gestão empresarial - fgv / 2008 ->  interrompida,,,2008,,notknown,,,,2008,,gestão empresarial,,mba,,deg-1,mba,mba,,,,fgv
cv44634.xml,"• pós-graduação ""mba""   -  gestão de projetos - (pmi/mbok) - usp/f.vanzolini / 2005 ->  concluída",,,2005,,notknown,,,,2005,,gestão de projetos,,mba,true,deg-2,mba,mba,,,,
cv44634.xml,• pós-graduação -  análise de sistemas - orientado à objetos - fecap/facesp / 1998 ->  concluída,,,1998,,notknown,,,,1998,,sistemas,,pós-graduação,true,deg-3,masters,masters,,,,fecap
cv44634.xml,• pós-graduação -  organização  sistemas e métodos - o&m / processos - usjt / 1993 ->  concluída,,,1993,,notknown,,,,1993,,organização,,pós-graduação,true,deg-4,masters,masters,,,,usjt
cv44634.xml,• graduação -  tecnologia em informática/processamento de dados - ubc / 1989 ->  concluída  certificação * itil® v2 - fundation - (it infrastructure library),,,1989,,notknown,,,,1989,,tecnologia,,graduação,true,deg-5,bachelors,bachelors,,,,ubc
cv21862.xml,upis sistemas de informação  information technology  2011 - 2015,,,2015,,,2011,,,2015,,information technology,,,,deg-1,,,,,,upis
cv54672.xml,• graduada em psicologia  faculdade cathedral. concluído 12/2014.  crp- 09/010100,,,,2014-12,notknown,,,,,2014-12,psicologia,,,true,deg-1,,,,,,faculdade cathedral
cv51830.xml,fatef - fortec barcharel  sistemas de informação  2007 - 2011  honors and awards plano de retenção de talentos,,,2011,,,2007,,,2011,,,,,,deg-1,,,,,,fatef
cv47841.xml,ibta - engenharia de software - soa (ago/2009 à ago/2010).,,,,2010-08,,,2009-08,,,2010-08,engenharia de software,,,,deg-1,,,,,,ibta
cv47841.xml,pós graduação: fiap - mba gerenciamento de serviços de ti com ênfase em itil v3 (abr/2008 à dez/2008),,,,2008-12,,,2008-04,,,2008-12,,,mba,,deg-2,mba,mba,,,,fiap
cv47841.xml,pós graduação: ibta - gestão de projetos - metodologia pmi (set/2004 à set/2005).,,,,2005-09,,,2004-09,,,2005-09,gestão de projetos,,pós graduação,,deg-3,bachelors,bachelors,,,,ibta
cv47841.xml,graduação: universidade mackenzie  tecnologia em processamento de dados  1990 à 1994.,,,1994,,,1990,,,1994,,tecnologia,,graduação,,deg-4,bachelors,bachelors,,,,universidade mackenzie
cv48699.xml,2009 fiap - faculdade de informática e administração paulista   • superior completo em análise de sistemas,,,2009,,notknown,,,,2009,,,,,true,deg-1,,,,,,fiap - faculdade de informática e administração paulista
cv48669.xml,•   graduado em banco de dados  fit-faculdade impacta de tecnologia  concluído em (dezembro/2015).,,,,2015-12,notknown,,,,,2015-12,graduado,,,true,deg-1,,,,,,fit-faculdade impacta de tecnologia
cv48669.xml,•   graduado em análise e desenvolvimento de sistemas  faculdade flamingo de tecnologia  concluído em (junho/2012).,,,,2012-06,notknown,,,,,2012-06,,,,true,deg-2,,,,,,faculdade flamingo de tecnologia
cv50227.xml,universidade estácio de sá bacharel em sistemas de informação  tecnologia em tecnologia da informação/sistemas da informação  2005 - 2012,,,2012,,,2005,,,2012,,tecnologia,,bacharel em sistemas de informação,,deg-1,bachelors,bachelors,,,,universidade estácio de sá
cv47138.xml,ensino superior de psicologia concluído em 2017. fio - faculdades integradas de ourinhos (com ênfase organizacional),,,2017,,notknown,,,,2017,,psicologia,,ensino superior,true,deg-1,ensino superior,some college,,,,fio - faculdades integradas de ourinhos
cv42379.xml,• curso superior de psicologia- 7° semestre - faculdade anhanguera (noturno)  • curso técnico em administração - concluído 12/2013 etecvav vasco antônio venchiarutti - louveira-sp,,,,2013-12,notknown,,,,,2013-12,curso superior de psicologia,administração,,true,deg-1,,,br,louveira,sp,faculdade anhanguera
cv44844.xml,•   especialização em  gestão  estratégica  de  pessoas - ibpolis  /  faj  (faculdade jaguariúna)  concluído em setembro de 2013,,,,2013-09,notknown,,,,,2013-09,gestão,,,true,deg-1,,,br,jaguariúna,,faj
cv44844.xml,(universidade paulista)  concluído em dezembro de 2009   aperfeiçoamento     •   analista de departamento social – ibdec  março 2018     •   curso esocial – ibdec  janeiro 2018,,,,2009-12,notknown,,,,,2009-12,,,,true,deg-3,,,,,,universidade paulista
cv44844.xml,•   graduação  em  psicologia  (bacharel  licenciatura  e  formação  de  psicólogo) - unip,,,,,,,,,,,psicologia,,graduação,,deg-2,bachelors,bachelors,,,,unip
cv42665.xml,graduação em psicologia - universidade brasil,,,,,,,,,,,psicologia,,graduação em psicologia,,deg-1,bachelors,bachelors,,,,universidade brasil
cv38068.xml,curso superior bacharel em sistema de informação. duração (3060hs) concluída. (unidesc)-centro universitário de desenvolvimento do centro oeste,,,,,,,,,,,duração,,bacharel em sistema de informação,true,deg-1,bachelors,bachelors,,,,unidesc
cv47678.xml,tipo de curso: ensino médio profissionalizante (2º grau técnico) início: 1/1991,,,,1991-01,notknown,,,,,1991-01,,,ensino médio,,deg-2,ensino médio,high school or equivalent,,,,profissionalizante
cv47678.xml,fecap - fundação escola de comércio álvares penteado local: são paulo-sp país: brasil,,,,,,,,,,,,,,,deg-1,,high school or equivalent,br,são paulo,sp,fecap - fundação escola de comércio álvares penteado
cv54974.xml,pós em psicologia organizacional e do trabalho   fundação hermínio ometto - 03/2018 - atual,,current,,,,,2018-03,,,,pós,,,false,deg-1,,,,,,fundação hermínio ometto
cv54974.xml,graduação em psicologia  fundação hermínio ometto - 2017,,,2017,,notknown,,,,2017,,,,graduação,,deg-2,bachelors,bachelors,,,,psicologia  fundação hermínio ometto
cv44697.xml,. pós-graduação - administração de empresas -  fundação getúlio vargas. (dezembro de 2011),,,,2011-12,notknown,,,,,2011-12,administração de empresas,,pós-graduação,,deg-1,masters,masters,,,,fundação getúlio vargas
cv44697.xml,. graduação-psicologia  universidade estácio de sá. (dezembro de 2007),,,,2007-12,notknown,,,,,2007-12,psicologia,,graduação,,deg-2,bachelors,bachelors,,,,universidade estácio de sá
cv54295.xml,•   unicsul universidade cruzeiro do sul superior - gestão de tecnologia da informação - concluído12/2016,,,,,,,,,,,gestão de tecnologia da informação,,,,deg-1,,,,,,unicsul universidade cruzeiro do sul
cv54295.xml,•   faveni faculdade venda nova do imigrante pós-graduação  - mba em gerenciamento de processos de negócio bpm - em andamento3/2019,,,,,,,,,,,gerenciamento de processos,negócio,mba,,deg-2,mba,mba,,,,faveni faculdade venda nova do imigrante
cv55344.xml,pontifícia universidade católica de campinas - puc campinas 01/01/2012 até 14/12/2016 estágios em clínica  ênfase em psicologia organizacional e trabalho e psicologia educacional.,2016-12-14,,,,2012-01-01,,,2016-12-14,,,psicologia,,,,deg-2,,,,,,centro cirúrgico e outros.  pontifícia universidade católica de campinas
cv55344.xml,escola evolução técnico de enfermagem  campinas 03/03/2006 até 02/12/2008,2008-12-02,,,,2006-03-03,,,2008-12-02,,,,,,,deg-1,,high school or equivalent,br,campinas,,escola evolução técnico de enfermagem
cv52029.xml,graduação em psicologia - pontifícia universidade católica de goiás,,,,,,,,,,,psicologia,,graduação em psicologia,,deg-1,bachelors,bachelors,,,,pontifícia universidade católica de goiás
cv45665.xml,✓ graduando em psicologia - puc goiás  5° período ; ✓ curso entrevistas por competências - interação rh  são paulo - sp. ✓ curso de inglês na caa - eua ;,,,,,,,,,,,graduando,,,,deg-1,,,br,são paulo,sp,puc goiás
cv50099.xml,uni-anhanguera - centro universitário de goiás superior em processamento de dados  tecnologia da informação  2001 - 2005,,,2005,,,2001,,,2005,,tecnologia da informação,,,,deg-1,,,,,,uni-anhanguera - centro universitário de goiás
cv53590.xml,mba-gestão recursos humanos unip- inicio março de 2018 conhecimentos,,,,2018-03,notknown,,,,,2018-03,,,mba,,deg-4,mba,mba,,,,gestão recursos humanos unip- inicio
cv53590.xml,curso inteligência emocional-universidade guarulhos curso relacionamento interpessoal-são paulo airport marriott hotel treinamento de competências essenciais(espro)  workshop cultura (espro)treinamento de atendimento ao cliente (espro). curso sistema microsiga -protheus 10- modulo avaliação de desempenho modulo cargos e salários teste ( d-2  inventário ifp  bpr  htp  ac  quati  cps e htm) conhecimentos atuação com sistema datamace capacitação para modulo de recrutamento e seleção cursando inglês-setembro 2012,,,,2012-09,notknown,,,,,,,,,false,deg-6,,,,,,universidade guarulhos
cv53590.xml,grupo ser consultoria em recursos humanos - atuação universidade bandeirantes inicio: 02/03/06 término:05/01/07 cargo: estagiária recursos humanos,2007-01-05,,,,2006-03-02,,,2007-01-05,,,,,,,deg-1,,,,,,grupo ser consultoria em recursos humanos - atuação universidade bandeirantes
cv53590.xml,• atuei por onze meses em consultoria prestando serviço em instituição de ensino. (universidade bandeirantes)  realizando recrutamento de pessoal  triagem  análise e classificação de currículos  entrevistas de triagem e de seleção  correção de testes  participação em dinâmicas  realizando processo seletivo de cargos operacionais  docentes).  • noronha administração de imóveis ltda início: 01/1996 término:02/02/06 cargo: assistente administrativo  • atuei por nove anos na área administrativa  no ramo imobiliário  participando de toda a rotina administrativa do escritório.  • atendimento ao público (telefônico e recepção)  arquivo  emissão de recibo e compra de material de escritório. com vivências em recrutamento e seleção. graduação,2006-02-02,,,,,,1996-01,2006-02-02,,,,,,,deg-2,,,,,,instituição de ensino
cv53590.xml,pedagoga -universidade guarulhos início-02/2000 término-12/2003 psicologia-universidade guarulhos início-02/2004 término-06/2008,,,,2003-12,,,2000-02,,,2003-12,,,,,deg-3,,,,,,psicologia-universidade guarulhos
cv53590.xml,curso de entrevista por competência -grupo ser consultoria,,,,,,,,,,,,,,,deg-5,,,,,,grupo ser consultoria
cv43942.xml,processamento de dados com ênfase em oracle / sap - faculdade de informática e administração paulistana - fiap - 2000,,,2000,,notknown,,,,2000,,,,,,deg-1,,,,,,faculdade de informática e administração paulistana - fiap
cv42154.xml,• cursando: 8º período  noturno de psicologia  • faculdade estácio de sá,,,,,,,,,,,noturno de psicologia,,,false,deg-1,,,,,,faculdade estácio de sá
cv43498.xml,bacharelado em análise de sistemas - puc campinas - 2001,,,2001,,notknown,,,,2001,,puc campinas,,bacharelado em análise de sistemas,,deg-1,bachelors,bachelors,,,,
cv47675.xml,bacharelado em ciência da computação unip universidade do interior paulista  são paulo/brasil 2006  principais trabalhos acadêmicos ktk um toolkit gráfico que fornece um construtor de interfaces embarcado no aplicativo provendo uma nova maneira de construir gui's que permite ao usuário final construir sua própria interface modificando-a quando necessário. provê componentes de pseudo-transparência  foi desenvolvido em linguagem c++  é multiplataforma e utiliza o toolkit gtkmm. disponível em: http//emface.sf.net snackware projeto de fins recreacionais inspirado no popular software de simulação do projeto robocon,,,2006,,notknown,,,,2006,,gráfico,,bacharelado em ciência da computação,,deg-1,bachelors,bachelors,br,são paulo,,unip universidade do interior paulista
cv34194.xml,•  bacharel em sistemas de informação (2012). facnet - anhanguera.,,,2012,,notknown,,,,2012,,sistemas de informação,,bacharel em sistemas de informação,,deg-1,bachelors,bachelors,,,,facnet - anhanguera
cv34194.xml,•  pós graduação - desenvolvimento de sistemas para web (falta certificado). facnet - anhanguera.,,,,,,,,,,,desenvolvimento de sistemas para web,,pós graduação,,deg-2,bachelors,bachelors,,,,facnet - anhanguera
cv48794.xml,•   certificação como professional coaching e self coaching - instituto menthes (2017).  •   formação em analista avançado em inteligência emocional e comportamento humano -  instituto,,,2017,,notknown,,,,2017,,,,,,deg-1,,,,,,instituto menthes
cv48794.xml,•   orientação e coaching vocacional - instituto maurício sampaio (2017).,,,2017,,notknown,,,,2017,,,,,,deg-2,,,,,,instituto maurício sampaio
cv48794.xml,•   pós-graduada em gestão de pessoas / 2014 (interrompida - universidade católica dom bosco),,,2014,,notknown,,,,2014,,pós-graduada,,,,deg-3,,,,,,universidade católica dom bosco
cv48794.xml,•   graduada em psicologia pela puc minas / 2009,,,2009,,notknown,,,,2009,,psicologia pela puc minas,,,,deg-4,,,,,,puc minas
cv50205.xml,unítalo - centro universitário ítalo brasileiro. graduação  tecnologia da informação  2004 - 2007,,,2007,,,2004,,,2007,,tecnologia da informação,,graduação,,deg-1,bachelors,bachelors,,,,centro universitário ítalo brasileiro
cv53105.xml,superior completo (processamento de dados  mackenzie) conclusão em 1996.,,,1996,,notknown,,,,1996,,,,,true,deg-1,,,,,,mackenzie
cv54171.xml,análise e desenvolvimento de sistemas - unopar rj 02/2015 - trancado (finalização prevista: 07/2018),,,,2018-07,,,2015-02,,,2018-07,,,,,deg-1,,,,,,unopar rj
cv54171.xml,curso profissionalizante em j2ee  senac em rio de janeiro 07/2014 - 09/2014,,,,2014-09,2014-01-07,,,,,2014-09,,,,,deg-2,,,br,rio de janeiro,,senac em rio de janeiro
cv45459.xml,•   pós- graduação em gestão de recursos humanos  uninter 03/2018 -   03/2020,,,,2020-03,,,2018-03,,,,gestão de recursos humanos,,pós- graduação em gestão de recursos humanos,false,deg-2,bachelors,bachelors,,,,uninter
cv45459.xml,•   curso extra-curricular / profissionalizante em psicologia organizacional recrutamento e seleção  portal da educaçao em minas gerais: 06/2015 -   08/2015  •   ensino superior em psicologia  universidade de uberaba em minas,,,,2015-08,,,2015-06,,,2015-08,profissionalizante,,ensino superior,,deg-1,ensino superior,some college,,,,universidade de uberaba em minas
cv42559.xml,psicologia - universidade metodista de são paulo. conclusão: 2018,,,2018,,notknown,,,,,,psicologia,,,false,deg-1,,,br,são paulo,,universidade metodista de são paulo
cv56549.xml,3o grau em ciência da computação instituição: universidade do vale do paraíba - univap cidade: são josé dos campos - sp término: 1999,,,1999,,notknown,,,,1999,,ciência da computação,,,,deg-1,,,br,são josé dos campos,sp,universidade do vale do paraíba - univap
cv38699.xml,unifenas - universidade josé do rosário vellano bacharel em ciência da computação  1997 - 2000,,,2000,,,1997,,,2000,,ciência da computação,,bacharel em ciência da computação,,deg-1,bachelors,bachelors,,,,unifenas - universidade josé do rosário vellano
cv54112.xml,•   bachelor's degree in administration of processes management - uninter (2010),,,2010,,notknown,,,,2010,,administration of processes management,,bachelor's degree in administration of processes management,,deg-2,bachelors,bachelors,,,,uninter
cv54112.xml,•   high scholl technical degree in industrial electronics - cefet/rj (1999)  •   fluent english and advanced spanish,,,1999,,notknown,,,,1999,,industrial electronics,,,,deg-3,,,,,,cefet/rj
cv54112.xml,•   mba in oil  gas  & biofuels engineering - uninter (currently studying),,,,,,,,,,,gas  & biofuels engineering,,mba,false,deg-1,mba,mba,,,,uninter
cv44331.xml,faculdade campos salles pós-graduação em gerenciamento de projetos em e-commerce trancado - 2015,,,2015,,notknown,,,,2015,,trancado,,pós-graduação em gerenciamento de projetos em e-commerce,,deg-2,masters,masters,,,,faculdade campos salles
cv44331.xml,faculdade uninove psicologia incompleto - 2005 á 2009,,,2009,,,2005,,,,,psicologia,,,false,deg-3,,,,,,faculdade uninove
cv44331.xml,fiap - faculdade de informática e administração paulista analise de sistemas completo - 1999 á 2001,,,2001,,,1999,,,2001,,,,,true,deg-1,,,,,,fiap - faculdade de informática e administração paulista
cv41570.xml,graduação em pedagogia * unb - universidade de brasília (faculdade de educação)   cursos especiais  língua estrangeira,,,,,,,,,,,pedagogia,,graduação em pedagogia,,deg-1,bachelors,bachelors,,,,unb - universidade de brasília (faculdade de educação)
cv42655.xml,analise e desenvolvimento de sistemas - universidade cruzeiro do sul,,,,,,,,,,,,,,,deg-1,,,,,,sistemas - universidade cruzeiro do sul
cv56041.xml,ensino superior em psicologia - conclusão 2017 universidade do grande abc,,,2017,,notknown,,,,2017,,psicologia,,ensino superior,,deg-2,ensino superior,some college,,,,universidade do grande abc
cv56041.xml,pós-graduação em psicopedagogia - cursando universidade cruzeiro do sul,,,,,,,,,,,psicopedagogia,,pós-graduação em psicopedagogia,false,deg-1,masters,masters,,,,universidade cruzeiro do sul
cv56041.xml,ensino superior em pedagogia - trancado.,,,,,,,,,,,pedagogia,,ensino superior,,deg-3,ensino superior,some college,,,,
cv53065.xml,pontifícia universidade católica de são paulo (puc - sp) graduação em administração - concluído formação: junho/18,,,,2018-06,notknown,,,,,2018-06,administração,,graduação em administração,true,deg-1,bachelors,bachelors,br,são paulo,,pontifícia universidade católica de são paulo
