id,licenseorcertification_description,licenseorcertification_effectivedate_firstissueddate_year,licenseorcertification_id,licenseorcertification_name
cv45252.xml,certification; matched to list,,1,itil v3
cv45252.xml,certification; matched to list,,2,pmp
cv43498.xml,certification; found in certifications; matched to list,,1,certified scrum master
cv43498.xml,certification; found in certifications,,2,certified sun-solaris systems administration 7
cv43498.xml,certification; found in certifications,2016,,master coach - formação em master coach
cv40707.xml,certification; found in certifications; matched to list,,1,certified scrummaster
cv40707.xml,certification; found in certifications; matched to list,,2,foundation certificate in it service management
cv40707.xml,certification; found in certifications; matched to list,,3,foundation certificate
cv40707.xml,certification; found in certifications; matched to list,,4,certificate in it service management
cv40707.xml,certification; found in certifications; matched to list,,5,certificate in it
cv40707.xml,certification; found in certifications,,6,certified scrummaster (scrum alliance)
cv48699.xml,certification; found in certifications; matched to list,,1,mcp
cv48699.xml,certification; found in certifications; matched to list,,2,mcsa
cv48699.xml,certification; found in certifications,,3,microsoft id: 12682143
cv44634.xml,certification; matched to list,,1,pmp
cv42688.xml,certification; found in certifications,,1,certificação itil foundation concluída
cv42688.xml,certification; matched to list,,2,mcp
cv42688.xml,certification; matched to list,,3,ccna
cv44295.xml,certification; matched to list,,1,sun certified programmer for the java platform
cv44295.xml,certification; matched to list,,2,sun certified programmer
cv44295.xml,certification; matched to list,,3,sun certified
cv44295.xml,certification; matched to list,,4,certified programmer
cv44295.xml,certification; matched to list,,5,scjp
cv44295.xml,certification; matched to list,,6,oracle certified
cv44295.xml,certification,,7,oracle service oriented architecture infrastructure implementation certified expert
cv48772.xml,certification; matched to list,,1,mcsa
cv48990.xml,certification; matched to list,,1,mcp
cv48990.xml,certification; matched to list,,2,microsoft certified
cv34194.xml,certification; matched to list,,1,oracle certified professional
cv34194.xml,certification; matched to list,,2,oracle certified
cv48790.xml,certification; matched to list,,1,ccna
cv44067.xml,certification; matched to list,,1,project management professional
cv44067.xml,certification; matched to list,,2,pmp
cv44067.xml,certification; matched to list,,3,itil v3
cv44100.xml,certification; found in certifications; matched to list,,1,certified network engineer
cv44100.xml,certification; found in certifications,,2,enterasys certified network engineer
cv44100.xml,certification; found in certifications,,3,link basic certified
cv44100.xml,certification; found in certifications,,4,itil foundations - version 2 and version 3
cv44100.xml,certification; found in certifications,,5,cobit 4.1 foundation
cv44100.xml,certification; found in certifications,,6,itil v2 service manager (official training done)
cv44872.xml,certification; matched to list,,1,advanced certified engineer
cv44872.xml,certification; matched to list,,2,certified engineer
cv44872.xml,certification; matched to list,,3,pmp
cv44872.xml,certification,,4,certificada ace
cv41179.xml,certification; matched to list,,1,certificate in advanced english
cv44292.xml,certification; found in certifications; matched to list,,1,scjp
cv44292.xml,certification; found in certifications; matched to list,,2,sun certified java
cv44292.xml,certification; found in certifications; matched to list,,3,sun certified
cv44292.xml,certification; found in certifications; matched to list,,4,certified java
cv44292.xml,certification; found in certifications,,5,certified professional for
cv44292.xml,certification; found in certifications,,6,requirements engineering - fl ireb - international requirements engineering board
cv44292.xml,certification; found in certifications,,7,programmer sun - sun microsystems  inc
cv47841.xml,certification; matched to list,,1,itil v3
cv54295.xml,certification; matched to list,,1,foundation certificate
cv54295.xml,certification,,2,scrum master certified (smc)
cv54295.xml,scrum master certified (smc),,2,(smc)
cv54295.xml,scrum master certified (smc),,2,scrum master certified
cv54295.xml,certification,,5,scrum developer certified (sdc)
cv54295.xml,scrum developer certified (sdc),,5,(sdc)
cv54295.xml,scrum developer certified (sdc),,5,scrum developer certified
cv54295.xml,certification,,8,scrum fundamentals certified (sfc)
cv54295.xml,scrum fundamentals certified (sfc),,8,(sfc)
cv54295.xml,scrum fundamentals certified (sfc),,8,scrum fundamentals certified
cv54295.xml,certification,,11,certified professional for requirements engineering (cpre-fl)
cv54295.xml,certified professional for requirements engineering (cpre-fl),,11,(cpre-fl)
cv54295.xml,certified professional for requirements engineering (cpre-fl),,11,certified professional for requirements engineering
cv54295.xml,certification,,14,scrum product owner certified (spoc(tm)
cv54295.xml,scrum product owner certified (spoc(tm),,14,(tm)
cv54295.xml,scrum product owner certified (spoc(tm),,14,scrum product owner certified (spoc
cv38068.xml,certification; found in certifications; matched to list,,1,certified tester
cv38068.xml,certification; found in certifications,,2,ctfl certified tester foundation level
cv38068.xml,certification; found in certifications,,3,scrum fundamentals certified credential
cv48873.xml,certification; matched to list,,1,mcsd
cv44169.xml,certification; found in certifications; matched to list,,1,mcp
cv44169.xml,certification; found in certifications; matched to list,,2,microsoft certified professional
cv44169.xml,certification; found in certifications; matched to list,,3,microsoft certified
cv44169.xml,certification; matched to list,,4,itil v3
cv44169.xml,certification; found in certifications,,5,scrum fundamentals certified
cv44169.xml,certification; found in certifications,,6,psm i - professional scrum master
cv44169.xml,certification; found in certifications,,7,pspo i - professional scrum product owner
cv44169.xml,certification; found in certifications,,8,lean it foundation
cv44169.xml,certification; found in certifications,,9,m3.0 - management 3.0
cv50435.xml,certification; matched to list,,1,mcp
cv50435.xml,certification; matched to list,,2,microsoft certified
cv44331.xml,certification; matched to list,,1,mcp
cv44331.xml,certification; matched to list,,2,mcad
cv48752.xml,certification; matched to list,,1,microsoft certified professional
cv48752.xml,certification; matched to list,,2,microsoft certified
cv44112.xml,certification; found in certifications,,1,sql completo - (softblue)
cv44112.xml,sql completo - (softblue),,1,(softblue)
cv44112.xml,sql completo - (softblue),,1,sql completo -
cv44112.xml,certification; found in certifications,,4,criando domínios ricos ddd - (andré baltieri)
cv44112.xml,certification; found in certifications,,5,criando apis web com nodejs e mongodb - (andré baltieri)
cv44112.xml,certification; found in certifications,,6,criando aplicações escaláveis com arquiteturas modernas - (andré baltieri)
cv44112.xml,certification; found in certifications,,7,uma visão completa do asp.net mvc - (andré baltieri)
cv44112.xml,certification; found in certifications,,8,angularjs para desenvolvedores .net - (andré baltieri)
cv44112.xml,certification; found in certifications,,9,construindo front-end ricos com angularjs - (andré baltieri)
cv44112.xml,certification; found in certifications,,10,relacionamentos no entity framework - (andré baltieri)
cv44112.xml,certification; found in certifications,,11,fundamentos do entity framework 4 - (microsoft virtual academy)
cv44112.xml,certification; found in certifications,,12,asp.net mvc intermediário - (microsoft virtual academy)
cv44112.xml,certification; found in certifications,,13,fundamentos do c# com clean code - (microsoft virtual academy)
cv44112.xml,certification; found in certifications,,14,asp.net mvc 5 conceitos básicos - (microsoft virtual academy)
cv54863.xml,certification; matched to list,,1,mcsd
cv54863.xml,certification; found in certifications,,2,70-483 programming in c#
cv54863.xml,certification; found in certifications,,3,70-486 developing asp.net mvc web applications
cv54863.xml,certification; found in certifications,,4,70-480 programming in html5 with javascript and css3
cv45207.xml,certification; matched to list,,1,itil v3
cv45207.xml,certification; matched to list,,2,pmp
cv44679.xml,certification; found in certifications; matched to list,,1,foundation certificate in it service management
cv44679.xml,certification; found in certifications; matched to list,,2,foundation certificate
cv44679.xml,certification; found in certifications; matched to list,,3,certificate in it service management
cv44679.xml,certification; found in certifications; matched to list,,4,certificate in it
cv44679.xml,certification; found in certifications; matched to list,,5,certified technology specialist
cv44679.xml,certification; found in certifications; matched to list,,6,certified technology
cv44679.xml,certification; found in certifications,,7,axelos global best practice
cv44679.xml,certification; found in certifications,,8,licença: gr750231384rv
